Device_Name;Device_Address;LastContact;EntityName;Device_Event_Name;Sensor_Event_Date;Sensor_Event_Value
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:22:03.663;0.30
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:21:32.627;0.90
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:20:04.720;0.30
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:19:59.763;0.30
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:20:00.587;0.40
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:18:25.793;0.80
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:17:10.770;0.90
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:14:18.637;41.29
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:12:47.593;36.29
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:11:18.717;0.30
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:11:26.777;0.90
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:08:07.653;0.50
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:07:30.617;0.50
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:06:00.783;0.80
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:02:56.800;0.30
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:02:29.740;0.60
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:00:28.750;0.50
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 16:00:16.787;0.80
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:57:22.807;0.60
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:58:04.793;0.40
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:57:04.777;1.00
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:55:49.697;2.60
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:54:50.673;0.90
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:53:46.647;4.90
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:53:48.720;5.29
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:53:49.760;4.40
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:52:36.810;0.10
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:50:45.677;0.50
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:48:20.793;3.39
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:48:26.800;3.39
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:48:28.657;2.89
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:47:26.773;3.60
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:47:39.807;3.60
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:46:00.803;34.89
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:41:20.807;0.70
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:41:04.653;0.00
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:39:46.753;0.60
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:38:33.687;0.10
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:37:55.650;34.39
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-16 15:37:05.767;33.60
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-20 07:34:15.490;56.89
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-20 09:18:38.250;66.29
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-20 09:18:39.277;66.00
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-20 09:27:27.280;2.70
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-20 10:39:04.127;4.90
ABB;10.117.137.21;2025-10-21 09:21:37.017;Goliath/Sollevamento/LT/MH3/Bozzello/NetLoad;Tons;2025-10-20 10:49:54.247;1.30
